Banxico,Fed,VIX,remesas_mdd,diferencial_tasas,remesas_z,remesas_var_anual_pct,USD_MXN
7.0,1.07,10.18000030517578,2873.1654,5.844285714285714,-1.0699785606497445,26.353323186949584,19.1478
7.0,1.16,10.199999809265137,2873.1654,5.844285714285714,-1.0699785606497445,26.353323186949584,19.1241
7.0,1.16,9.93000030517578,2873.1654,5.844285714285714,-1.0699785606497445,26.353323186949584,19.1241
7.0,1.16,9.140000343322754,2873.1654,5.844285714285714,-1.0699785606497445,26.353323186949584,19.185
7.0,1.16,9.399999618530272,2873.1654,5.844285714285714,-1.0699785606497445,26.353323186949584,19.0814
7.0,1.16,9.890000343322754,2873.1654,5.844285714285714,-1.0699785606497445,26.353323186949584,19.1349
7.0,1.16,9.779999732971191,2873.1654,5.844285714285714,-1.0699785606497445,26.353323186949584,19.0718
7.0,1.16,10.5,2873.1654,5.844285714285714,-1.0699785606497445,26.353323186949584,19.09
7.0,1.16,11.289999961853027,2873.1654,5.844285714285714,-1.0699785606497445,26.353323186949584,19.0526
7.0,1.16,11.5,2873.1654,5.844285714285714,-1.0699785606497445,26.353323186949584,19.168
7.0,1.16,11.59000015258789,2873.1654,5.844285714285714,-1.0699785606497445,26.353323186949584,19.1334
7.0,1.16,13.130000114440918,2873.1654,5.844285714285714,-1.0699785606497445,26.353323186949584,19.2268
7.0,1.16,11.760000228881836,2873.1654,5.844285714285714,-1.0699785606497445,26.353323186949584,19.1224
7.0,1.16,11.43000030517578,2873.1654,5.844285714285714,-1.0699785606497445,26.353323186949584,18.9724
7.0,1.16,10.649999618530272,2873.1654,5.844285714285714,-1.0699785606497445,26.353323186949584,18.9724
7.0,1.16,9.729999542236328,2873.1654,5.844285714285714,-1.0699785606497445,26.353323186949584,18.8242
7.0,1.16,9.880000114440918,2873.1654,5.844285714285714,-1.0699785606497445,26.353323186949584,18.74
7.0,1.16,9.880000114440918,2873.1654,5.844285714285714,-1.0699785606497445,26.353323186949584,18.6041
7.0,1.16,9.670000076293944,2873.1654,5.844285714285714,-1.0699785606497445,26.353323186949584,18.5379
7.0,1.16,9.869999885559082,2873.1654,5.844285714285714,-1.0699785606497445,26.353323186949584,18.52
7.0,1.16,10.029999732971191,2873.1654,5.844285714285714,-1.0699785606497445,26.353323186949584,18.5848
7.0,1.16,10.699999809265137,2873.1654,5.844285714285714,-1.0699785606497445,26.353323186949584,18.519
7.0,1.07,11.279999732971191,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,18.6229
7.0,1.16,11.43000030517578,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,18.6399
7.0,1.16,11.68000030517578,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,18.642
7.0,1.16,11.329999923706056,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,18.6958
7.0,1.16,11.020000457763672,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,18.8897
7.0,1.16,10.15999984741211,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,18.9315
7.0,1.16,9.579999923706056,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,18.9445
7.0,1.16,9.340000153,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,18.974
7.0,1.17,9.920000076293944,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,18.974
7.0,1.17,10.18000030517578,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,19.1391
7.25,1.41,10.489999771118164,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,19.1202
7.25,1.41,9.420000076293944,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,19.1289
7.25,1.42,9.529999732971191,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,19.0289
7.25,1.42,10.029999732971191,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,19.1913
7.25,1.42,9.720000267028809,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,19.2291
7.25,1.42,9.619999885559082,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,19.3962
7.25,1.42,9.899999618530272,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,19.5848
7.25,1.42,9.899999618530272,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,19.5848
7.25,1.42,10.25,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,19.7223
7.25,1.42,10.470000267028809,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,19.7867
7.25,1.42,10.18000030517578,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,19.7354
7.25,1.33,11.039999961853027,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,19.6629
7.25,1.33,11.039999961853027,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,19.6629
7.25,1.42,9.770000457763672,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,19.4899
7.25,1.42,9.149999618530272,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,19.3717
7.25,1.42,9.220000267028809,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,19.2427
7.25,1.42,9.220000267028809,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,19.2737
7.25,1.42,9.520000457763672,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,19.2323
7.25,1.42,10.079999923706056,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,19.3065
7.25,1.42,9.81999969482422,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,19.2405
7.25,1.42,9.880000114440918,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,19.3433
7.25,1.42,10.15999984741211,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,19.0446
7.25,1.42,10.15999984741211,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,18.8113
7.25,1.42,11.65999984741211,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,18.8362
7.25,1.42,11.90999984741211,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,18.655
7.25,1.42,12.220000267028809,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,18.6361
7.25,1.42,11.270000457763672,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,18.5813
7.25,1.42,11.029999732971191,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,18.7118
7.25,1.42,11.100000381469728,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,18.798
7.25,1.42,11.470000267028809,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,18.5178
7.25,1.42,11.579999923706056,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,18.478
7.25,1.42,11.079999923706056,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,18.4672
7.25,1.42,13.84000015258789,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,18.6196
7.25,1.42,14.789999961853027,2473.8381,5.844285714285714,-1.4110706014735093,1.1882710128496177,18.6982
7.25,1.34,13.539999961853027,2308.8292,5.833809523809524,-1.5520156920172423,5.133800512866871,18.6069
7.25,1.42,13.470000267028809,2308.8292,5.833809523809524,-1.5520156920172423,5.133800512866871,18.4004
7.25,1.42,17.309999465942383,2308.8292,5.833809523809524,-1.5520156920172423,5.133800512866871,18.5248
